program,instruction_count,program_size_bytes,rounds,mean_ms,median_ms,std_ms,minimum_ms,maximum_ms,p95_ms,group_wall_seconds,runs_per_second,program_load_ms
Arithmetic 32,31,124,100,0.05487867000000001,0.0542895,0.005272415300514557,0.052843,0.106781,0.055359,0.11290901500001382,885.6688724101239,6.272831000160295
Bubble Sort 32,31,124,100,0.3860465900000001,0.38226499999999997,0.008461521262864027,0.377772,0.421329,0.40041180000000004,0.15190512000003764,658.305658163301,9.283229999937248
Arithmetic 32,31,124,1000,0.055749848,0.054492,0.006719944656981633,0.052474,0.182905,0.0622178,1.1668710690000808,856.9927103059669,6.272831000160295
Bubble Sort 32,31,124,1000,0.384975915,0.381286,0.009106205522596939,0.377016,0.44352,0.40185955,1.5692131359999166,637.2620627871504,9.283229999937248
Arithmetic 32,31,124,10000,0.0547390496,0.05416,0.0046293402555590835,0.051643,0.251581,0.05595005,11.307237405000024,884.3893200277224,6.272831000160295
Bubble Sort 32,31,124,10000,0.3884285234,0.388677,0.022237676526607998,0.376154,1.997182,0.395311,15.104816531000097,662.0404808940699,9.283229999937248
